feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
P_x_curing_RotBonds,molecular_descriptor,0.86480993735327,0.86480993735327,-0.1266998239337863,-0.1266998239337863,1.0,0.8,0.8,0.2,5.0,5,5,High
Main_FR_present,other,0.4098310400328547,0.5122888000410684,-0.0425164458302487,-0.0531455572878109,0.8,0.2,0.5,0.5,180.2,4,5,Low
P_x_curing_LogP,molecular_descriptor,0.3152346985217714,0.3152346985217714,-0.0477323265731938,-0.0477323265731938,1.0,1.0,0.8,0.2,5.8,5,5,High
P_content_x_EP_matrix_LOI,formulation_interaction,0.2861531584257665,0.2861531584257665,-0.0227565647657923,-0.0227565647657923,1.0,1.0,0.6,0.4,6.0,5,5,Medium
P_x_curing_HBD,molecular_descriptor,0.2628805720287825,0.2628805720287825,-0.0337418191311772,-0.0337418191311772,1.0,1.0,0.8,0.2,7.2,5,5,High
Synergy_x_EP_matrix_LOI,formulation_interaction,0.2474539658344018,0.3093174572930023,0.1026860758354237,0.1283575947942797,0.8,0.8,0.75,0.75,62.4,4,5,Medium
P_loading_x_Synergy,formulation_loading,0.2076032165677233,0.2076032165677233,-0.0238874688130501,-0.0238874688130501,1.0,0.8,0.8,0.2,10.6,5,5,High
main_TPSA,molecular_descriptor,0.1993006852010656,0.1993006852010656,0.0165191719115354,0.0165191719115354,1.0,0.8,0.8,0.8,12.2,5,5,High
P_Si_loading_ratio,formulation_loading,0.1954506949435529,0.1954506949435529,-0.0141634733148446,-0.0141634733148446,1.0,0.8,0.8,0.2,16.2,5,5,High
EP_matrix_LOI,ep_baseline,0.193961720486077,0.193961720486077,-0.0055765997589996,-0.0055765997589996,1.0,1.0,0.6,0.6,8.6,5,5,Medium
